region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
THA-VA-rh,Subcortical,0.84375,0.15625,0.47,0.53,0.37375,237.67885532591416,right,1
RH_SalVentAttnA_PrC_1,SalVentAttnA,0.8392857142857143,0.1607142857142857,0.495,0.505,0.3442857142857143,212.89752650176683,right,2
RH_ContA_PFCl_1,ContA,0.9464285714285714,0.0535714285714286,0.625,0.375,0.3214285714285714,589.0052356020938,right,3
aGP-rh,Subcortical,0.5758928571428571,0.4241071428571429,0.32,0.6799999999999999,0.25589285714285703,60.19490884650926,right,4
RH_ContC_pCun_2,ContC,0.9419642857142856,0.05803571428571441,0.705,0.29500000000000004,0.23696428571428563,401.3914095583777,right,5
THA-DA-rh,Subcortical,0.8035714285714286,0.1964285714285714,0.57,0.43000000000000005,0.23357142857142865,118.30680173661365,right,6
pPUT-rh,Subcortical,0.9107142857142856,0.08928571428571441,0.685,0.31499999999999995,0.22571428571428553,249.99999999999946,right,7
RH_ContC_Cingp_1,ContC,0.9330357142857144,0.06696428571428559,0.715,0.28500000000000003,0.21803571428571444,320.8092485549141,right,8
RH_TempPar_1,TempPar,0.9375,0.0625,0.735,0.265,0.2025,318.8976377952756,right,9
mAMY-rh,Subcortical,0.875,0.125,0.675,0.32499999999999996,0.19999999999999996,158.7301587301587,right,10
aPUT-rh,Subcortical,0.9553571428571428,0.044642857142857206,0.77,0.22999999999999998,0.18535714285714278,406.1032863849758,right,11
RH_DefaultA_pCunPCC_1,DefaultA,0.9732142857142856,0.026785714285714413,0.79,0.20999999999999996,0.18321428571428555,659.3830334190195,right,12
pHIP-rh,Subcortical,0.7723214285714286,0.2276785714285714,0.59,0.41000000000000003,0.18232142857142863,79.72825238169612,right,13
lAMY-rh,Subcortical,0.78125,0.21875,0.605,0.395,0.17625000000000002,80.2047781569966,right,14
RH_DorsAttnB_FEF_1,DorsAttnB,0.9196428571428572,0.0803571428571428,0.745,0.255,0.1746428571428572,214.66198419666398,right,15
NAc-shell-rh,Subcortical,0.7857142857142857,0.2142857142857143,0.615,0.385,0.1707142857142857,79.29661579296615,right,16
NAc-core-rh,Subcortical,0.8705357142857143,0.1294642857142857,0.7,0.30000000000000004,0.17053571428571435,130.71448124828916,right,17
RH_DefaultB_AntTemp_1,DefaultB,0.9375,0.0625,0.77,0.22999999999999998,0.16749999999999998,263.7795275590551,right,18
THA-VP-rh,Subcortical,0.7723214285714286,0.2276785714285714,0.605,0.395,0.16732142857142862,73.16882711229114,right,19
THA-DP-rh,Subcortical,0.71875,0.28125,0.565,0.43500000000000005,0.15375000000000005,54.47298494242695,right,20
RH_DorsAttnA_SPL_4,DorsAttnA,0.9776785714285714,0.022321428571428603,0.83,0.17000000000000004,0.14767857142857144,633.2312404287894,right,21
RH_TempPar_2,TempPar,0.9375,0.0625,0.79,0.20999999999999996,0.14749999999999996,232.28346456692907,right,22
RH_SomMotB_S2_2,SomMotB,0.9464285714285714,0.0535714285714286,0.8,0.19999999999999996,0.14642857142857135,268.32460732984265,right,23
RH_SomMotB_Aud_2,SomMotB,0.9553571428571428,0.044642857142857206,0.815,0.18500000000000005,0.14035714285714285,307.5117370892014,right,24
RH_SomMotB_Cent_1,SomMotB,0.9241071428571428,0.0758928571428572,0.785,0.21499999999999997,0.13910714285714276,180.91035764050133,right,25
RH_DefaultA_PFCd_1,DefaultA,0.8928571428571429,0.1071428571428571,0.755,0.245,0.1378571428571429,127.4768824306474,right,26
aHIP-rh,Subcortical,0.9017857142857144,0.09821428571428559,0.765,0.235,0.1367857142857144,137.8689704823617,right,27
RH_LimbicB_OFC_4,LimbicB,0.8660714285714286,0.1339285714285714,0.73,0.27,0.13607142857142862,100.84700899947067,right,28
RH_DorsAttnB_PostC_1,DorsAttnB,0.9642857142857144,0.03571428571428559,0.835,0.16500000000000004,0.12928571428571445,352.14007782101334,right,29
RH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9910714285714286,0.008928571428571397,0.865,0.135,0.1260714285714286,1269.784172661875,right,30
RH_ContB_Temp_1,ContB,0.9598214285714286,0.0401785714285714,0.835,0.16500000000000004,0.12482142857142864,303.1222896790984,right,31
RH_SomMotB_Aud_1,SomMotB,0.9642857142857144,0.03571428571428559,0.84,0.16000000000000003,0.12428571428571444,338.5214007782117,right,32
RH_ContC_pCun_1,ContC,0.9776785714285714,0.022321428571428603,0.855,0.14500000000000002,0.12267857142857141,526.0336906584985,right,33
RH_SomMotB_S2_3,SomMotB,0.9598214285714286,0.0401785714285714,0.84,0.16000000000000003,0.11982142857142863,290.9800520381617,right,34
RH_SalVentAttnB_Ins_2,SalVentAttnB,0.96875,0.03125,0.85,0.15000000000000002,0.11875000000000002,368.21705426356596,right,35
RH_ContB_PFCld_3,ContB,0.9285714285714286,0.0714285714285714,0.81,0.18999999999999995,0.11857142857142855,163.7080867850099,right,36
RH_DefaultC_Rsp_1,DefaultC,0.9821428571428572,0.017857142857142794,0.865,0.135,0.11714285714285722,621.2121212121236,right,37
pGP-rh,Subcortical,0.5491071428571429,0.4508928571428571,0.435,0.565,0.11410714285714285,25.25092863352565,right,38
pCAU-rh,Subcortical,0.8973214285714286,0.1026785714285714,0.785,0.21499999999999997,0.11232142857142857,108.33620392697215,right,39
RH_VisPeri_ExStrSup_1,VisPeri,0.9821428571428572,0.017857142857142794,0.87,0.13,0.11214285714285721,594.696969696972,right,40
RH_SomMotB_S2_1,SomMotB,0.9464285714285714,0.0535714285714286,0.835,0.16500000000000004,0.11142857142857143,204.18848167539255,right,41
RH_LimbicA_TempPole_2,LimbicA,0.75,0.25,0.64,0.36,0.10999999999999999,43.82470119521912,right,42
RH_DorsAttnA_SPL_3,DorsAttnA,0.9598214285714286,0.0401785714285714,0.85,0.15000000000000002,0.10982142857142863,266.6955767562883,right,43
RH_LimbicB_OFC_3,LimbicB,0.96875,0.03125,0.86,0.14,0.10875000000000001,337.2093023255814,right,44
RH_VisPeri_ExStrInf_2,VisPeri,0.96875,0.03125,0.86,0.14,0.10875000000000001,337.2093023255814,right,45
RH_VisPeri_ExStrSup_3,VisPeri,0.9821428571428572,0.017857142857142794,0.875,0.125,0.1071428571428572,568.1818181818204,right,46
RH_DefaultB_Temp_1,DefaultB,0.9598214285714286,0.0401785714285714,0.855,0.14500000000000002,0.10482142857142862,254.55333911535155,right,47
RH_DefaultA_PFCm_3,DefaultA,0.9642857142857144,0.03571428571428559,0.86,0.14,0.10428571428571443,284.04669260700524,right,48
RH_SomMotB_S2_4,SomMotB,0.9732142857142856,0.026785714285714413,0.87,0.13,0.10321428571428559,371.4652956298179,right,49
RH_SalVentAttnA_Ins_1,SalVentAttnA,0.8169642857142857,0.1830357142857143,0.715,0.28500000000000003,0.10196428571428573,55.40461866873666,right,50
