region_name,network,cv_accuracy,cv_error_rate,task_accuracy,task_error_rate,error_increase,error_increase_pct,data_type,reorganization_rank
aGP-lh,Pallidum_ant,0.5089285714285714,0.4910714285714286,0.24,0.76,0.2689285714285714,54.652344317027136,full,1
aGP-rh,Pallidum_ant,0.5178571428571429,0.4821428571428571,0.265,0.735,0.2528571428571429,52.33589591957423,full,2
RH_SalVentAttnA_PrC_1,SalVentAttnA,0.8303571428571429,0.1696428571428571,0.585,0.41500000000000004,0.24535714285714294,143.78401004604447,full,3
RH_ContA_PFCl_1,ContA,0.9375,0.0625,0.755,0.245,0.1825,287.4015748031496,full,4
THA-VP-rh,Thalamus_VP,0.8482142857142857,0.1517857142857143,0.68,0.31999999999999995,0.16821428571428565,110.09817671809252,full,5
LH_ContA_Cingm_1,ContA,0.9196428571428572,0.0803571428571428,0.76,0.24,0.1596428571428572,196.22475856014069,full,6
pHIP-rh,Hippocampus_post,0.8348214285714286,0.1651785714285714,0.68,0.31999999999999995,0.15482142857142855,93.16569954867828,full,7
pPUT-lh,Putamen_post,0.9241071428571428,0.0758928571428572,0.78,0.21999999999999997,0.14410714285714277,187.41291221551296,full,8
RH_ContA_Cingm_1,ContA,0.9375,0.0625,0.795,0.20499999999999996,0.14249999999999996,224.40944881889754,full,9
lAMY-rh,Amygdala_lat,0.7767857142857143,0.2232142857142857,0.635,0.365,0.1417857142857143,63.23669958585537,full,10
NAc-shell-lh,Accumbens_shell,0.875,0.125,0.74,0.26,0.135,107.14285714285714,full,11
LH_SomMotB_Aud_3,SomMotB,0.9419642857142856,0.05803571428571441,0.81,0.18999999999999995,0.13196428571428553,223.53297035692603,full,12
pHIP-lh,Hippocampus_post,0.8125,0.1875,0.685,0.31499999999999995,0.12749999999999995,67.63925729442968,full,13
RH_ContC_pCun_2,ContC,0.9821428571428572,0.017857142857142794,0.855,0.14500000000000002,0.12714285714285722,674.2424242424269,full,14
RH_LimbicA_TempPole_2,LimbicA,0.8214285714285714,0.1785714285714286,0.695,0.30500000000000005,0.12642857142857145,70.40572792362768,full,15
LH_DefaultB_Temp_3,DefaultB,0.9330357142857144,0.06696428571428559,0.81,0.18999999999999995,0.12303571428571436,181.02995270625374,full,16
RH_SomMotB_S2_1,SomMotB,0.9330357142857144,0.06696428571428559,0.815,0.18500000000000005,0.11803571428571447,173.67314766158754,full,17
NAc-shell-rh,Accumbens_shell,0.8080357142857143,0.1919642857142857,0.69,0.31000000000000005,0.11803571428571435,61.169720525633956,full,18
LH_SomMotB_S2_1,SomMotB,0.9241071428571428,0.0758928571428572,0.81,0.18999999999999995,0.11410714285714274,148.3975847654433,full,19
RH_SomMotB_S2_3,SomMotB,0.96875,0.03125,0.855,0.14500000000000002,0.11375000000000002,352.7131782945737,full,20
LH_ContA_PFClv_1,ContA,0.9375,0.0625,0.825,0.17500000000000004,0.11250000000000004,177.16535433070874,full,21
pGP-lh,Pallidum_post,0.5267857142857143,0.4732142857142857,0.415,0.585,0.11178571428571427,23.57282723301702,full,22
THA-VA-rh,Thalamus_VA,0.9285714285714286,0.0714285714285714,0.82,0.18000000000000005,0.10857142857142865,149.90138067061162,full,23
NAc-core-lh,Accumbens_core,0.8883928571428571,0.1116071428571429,0.78,0.21999999999999997,0.10839285714285707,96.25753250872174,full,24
pPUT-rh,Putamen_post,0.9196428571428572,0.0803571428571428,0.815,0.18500000000000005,0.10464285714285726,128.62159789288873,full,25
RH_VisPeri_ExStrSup_1,VisPeri,0.96875,0.03125,0.865,0.135,0.10375000000000001,321.7054263565892,full,26
RH_DefaultB_AntTemp_1,DefaultB,0.9375,0.0625,0.835,0.16500000000000004,0.10250000000000004,161.41732283464572,full,27
THA-DP-rh,Thalamus_DP,0.78125,0.21875,0.68,0.31999999999999995,0.10124999999999995,46.075085324232056,full,28
RH_ContB_PFCld_1,ContB,0.9107142857142856,0.08928571428571441,0.81,0.18999999999999995,0.10071428571428553,111.55063291139204,full,29
LH_ContA_PFCl_2,ContA,0.9196428571428572,0.0803571428571428,0.82,0.18000000000000005,0.09964285714285726,122.47585601404765,full,30
aHIP-rh,Hippocampus_ant,0.9285714285714286,0.0714285714285714,0.84,0.16000000000000003,0.08857142857142863,122.28796844181473,full,31
THA-VP-lh,Thalamus_VP,0.8125,0.1875,0.725,0.275,0.08750000000000002,46.419098143236084,full,32
LH_SomMotB_Aud_1,SomMotB,0.9375,0.0625,0.85,0.15000000000000002,0.08750000000000002,137.79527559055123,full,33
LH_TempPar_1,TempPar,0.8973214285714286,0.1026785714285714,0.81,0.18999999999999995,0.08732142857142855,84.22321736135034,full,34
RH_DorsAttnA_SPL_3,DorsAttnA,0.9553571428571428,0.044642857142857206,0.87,0.13,0.0853571428571428,187.01095461658804,full,35
LH_SalVentAttnB_PFCl_1,SalVentAttnB,0.9285714285714286,0.0714285714285714,0.845,0.15500000000000003,0.08357142857142863,115.3846153846155,full,36
RH_SomMotB_S2_2,SomMotB,0.9508928571428572,0.049107142857142794,0.87,0.13,0.08089285714285721,161.43977191732037,full,37
RH_SalVentAttnA_Ins_1,SalVentAttnA,0.8348214285714286,0.1651785714285714,0.755,0.245,0.0798214285714286,48.03352675693104,full,38
